event_id,date,time,weekday,mechanism,storyline,slot_type,generation_method,symbol,base_symbol,related_tickers,exchange,exchange_open_today,market_phase,price,change_pct,day_high,day_low,headline,headline_source,headline_link,headline_published_utc,news_category,holding_disclosure_fingerprint,day_move_pct,catalyst_found,catalyst_headline,gemini_call_used,gemini_calls_today_after,pool_used,posted,skip_reason,tweet_text,tweet_char_count,tweet_url,likes,retweets,replies,engagement_checked_at
15,2026-07-04,14:16:14,Saturday,news_event,,,,CRWV,CRWV,,,,,,,,,"PFG Investments LLC Purchases 28,553 Shares of CoreWeave Inc. $CRWV",MarketBeat,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPNlp1NTZPWUptSUdaU3BrWEltNlR5a1NYeEU2UmdCdkFmUjlDS2N4V3FXSDE3YmZycy0zT0gxOUstZ2lqZDZ4cGpIMUlyQzJvRVAwTm80WWR4NEdyeTljNEs0dFhkSXZZcGoxOTZyekNYSUdVS0JqaVpSUDdXT2dCRFZJMlBvZ09HTXlZbzN3cGZxU1hQMEI0eU5zXzFDMHhjckExT2dmUFZjdkU5VW1ZcDdLN0E2cFFUSFlISDFrTHZsSjA?oc=5,2026-07-04T10:01:05,,crwv:pfginvestmentsllc:28553,,,,,,,N,holding_disclosure_recycled,,,,,,,
16,2026-07-04,18:02:45,Saturday,scheduled_slot,eu,wrap,gemini,ENR.DE,ENR,"$ABBN, $LR, $IBE, $RWE",,,weekend,168.12,1.39,,,,,,,,,,,,Y,3,llm,Y,,"European industrials saw a week of strategic moves and green energy momentum.

$ENR – Significant Oman power contracts secured.
$ABBN – EU grid/battery storage investments surging.
$LR – Acquired US firm Girtz Industries.",221,,,,,
17,2026-07-04,18:04:00,Saturday,scheduled_slot,us,wrap,gemini,VRT,VRT,"$CEG, $VST, $CRWV, $GEV",,,weekend,301.7,-3.76,,,,,,,,,,,,Y,4,llm,Y,,"Market wrap-up: AI/data center demand led this week; $VRT eyed for earnings growth.

$VRT: Analyst fav; data center EPS.
$CEG: Energy transition; grid focus.
$VST: Mixed analyst; asset buys.
$CRWV: AI cloud; BattleBots.
$GEV: AI power; Cramer.",243,,,,,
18,2026-07-04,18:31:51,Saturday,news_event,,,keyword,DLR,DLR,,,,,,,,,Digital Realty (NYSE: DLR) to acquire $3.5B Blackstone hyperscale data centers,Stock Titan,https://news.google.com/rss/articles/CBMisgFBVV95cUxOazl6WHphelB5U0VfNXBTemMtYy04NVkzVEJGQVFmaVpOSXRFMC1KSjU0QTNQbGFDQkRIcTFHWktkOGJPd1JBSGNCeFpnUWt0N3ZPSWZabThOMGt6NklYdXB5YW16S1BnXzY0MWJOd0pwb2IyV0prb1MteDNBdDI5UnVDN0poZTlVVUN3aHpOSEtNX3lIUGdtYVBkSEpOMVEzVV96emlLQWZERFFDWmZvRE9R?oc=5,2026-07-04T16:14:53,ma,,,,,,,,N,duplicate_category_24h,,,,,,,
19,2026-07-04,22:46:09,Saturday,news_event,,,,EQIX,EQIX,,,,,,,,,"Janney Montgomery Scott LLC Buys 1,439 Shares of Equinix, Inc. $EQIX",MarketBeat,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPVUIxU19JakdOSHptWUZYa2xNZ1NwTmNWSTNfTExRRlVnYmpKb0xZVUh1MERMTjRzU1plQTFqYmVPOVVTMEtjdExCU2tibU9DUmJqMDhLSW9YbnRMRHNmRER4U0dvXzhBQlVwRF9yZjZ2YmVidlFXOERoaHhWVEdSZy11a0JLM3VRMjhnYXgzZ28yODFoLUVxQUlmSU1qbUxaTngzOE91dVRBX2dOZmV5NHBkbmtwbEtjTmtNR1UybHBQM00?oc=5,2026-07-04T08:44:54,,eqix:janneymontgomeryscottllc:1439,,,,,,,N,holding_disclosure_recycled,,,,,,,
20,2026-07-04,22:46:46,Saturday,news_event,,,keyword,DLR,DLR,,,,,,,,,Digital Realty (NYSE: DLR) to acquire $3.5B Blackstone hyperscale data centers,Stock Titan,https://news.google.com/rss/articles/CBMisgFBVV95cUxOazl6WHphelB5U0VfNXBTemMtYy04NVkzVEJGQVFmaVpOSXRFMC1KSjU0QTNQbGFDQkRIcTFHWktkOGJPd1JBSGNCeFpnUWt0N3ZPSWZabThOMGt6NklYdXB5YW16S1BnXzY0MWJOd0pwb2IyV0prb1MteDNBdDI5UnVDN0poZTlVVUN3aHpOSEtNX3lIUGdtYVBkSEpOMVEzVV96emlLQWZERFFDWmZvRE9R?oc=5,2026-07-04T16:14:53,ma,,,,,,,,N,duplicate_category_24h,,,,,,,
21,2026-07-05,01:01:49,Sunday,news_event,,,,VST,VST,,,,,,,,,"First Dallas Securities Inc. Sells 11,450 Shares of Vistra Corp. $VST",MarketBeat,https://news.google.com/rss/articles/CBMixAFBVV95cUxQeGczakJxQklUQVByMUVQWlQwRW9ZZXh5WHkzSE1EUGNNVEdHMEx3UURqb1FHNzBiT1JiSXJ6dHljalNFU3Z4N0F1ZkdnN2J6RnAxQmtjelNaS0RQdEpoTERocklta0hOcTVnM2YtOFJmd1ZLSFpMaU5Sb0pROVpQblhTdERIcDBQZzd0MXRna1k1NEdMcXNWSzBDT3RoUk9HMk56bjRCUmowUHBKV1k1QndPWU9oU3VweV9iWGxqSzhmc2ds?oc=5,2026-07-04T08:04:30,,vst:firstdallassecuritiesinc:11450,,,,,,,N,holding_disclosure_recycled,,,,,,,
22,2026-07-05,03:16:13,Sunday,news_event,,,,VST,VST,,,,,,,,,"First Dallas Securities Inc. Sells 11,450 Shares of Vistra Corp. $VST",MarketBeat,https://news.google.com/rss/articles/CBMixAFBVV95cUxQeGczakJxQklUQVByMUVQWlQwRW9ZZXh5WHkzSE1EUGNNVEdHMEx3UURqb1FHNzBiT1JiSXJ6dHljalNFU3Z4N0F1ZkdnN2J6RnAxQmtjelNaS0RQdEpoTERocklta0hOcTVnM2YtOFJmd1ZLSFpMaU5Sb0pROVpQblhTdERIcDBQZzd0MXRna1k1NEdMcXNWSzBDT3RoUk9HMk56bjRCUmowUHBKV1k1QndPWU9oU3VweV9iWGxqSzhmc2ds?oc=5,2026-07-04T08:04:30,,vst:firstdallassecuritiesinc:11450,,,,,,,N,holding_disclosure_recycled,,,,,,,
1,2026-07-05,04:17:26,Sunday,news_event,,,keyword,DLR,DLR,,,,,173.41,-1.74,,,Digital Realty (DLR) Stock Could Be 35% Undervalued Despite $3.5b Data Center Deal,simplywall.st,https://simplywall.st/stocks/us/real-estate/nyse-dlr/digital-realty-trust/news/digital-realty-dlr-stock-could-be-35-undervalued-despite-35b,,contract,,,,,N,0,keyword,Y,,"$DLR ($173.41, -1.74% at last close as of Jul 2): Digital Realty (DLR) Stock Could Be 35% Undervalued Despite $3.5b Data Center Deal

https://simplywall.st/stocks/us/real-estate/nyse-dlr/digital-realty-trust/news/digital-realty-dlr-stock-could-be-35-undervalued-despite-35b",273,,,,,
2,2026-07-05,06:31:55,Sunday,news_event,,,keyword,DLR,DLR,,,,,,,,,Digital Realty (DLR) Stock Could Be 35% Undervalued Despite $3.5b Data Center Deal,simplywall.st,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOZ05ER0ljLXd6ZEVBV2dlZk1xRDI3NTNweG1HMzk1VmhteWZva2EwTFlOWWtoVU1XU3B4T3pNTl9pcWhsTW5XZzBUS1pnUG85Y3I1UjF4cTJoRFlTeWxnNXltMlVVMWN6WWlZWmh5amc2NWV4M0NOQVViN0JTQTg3QXE2YTc2UzZhSDM1Zk1FTlJhYmVNVHE0ZE84TEJYaVlCdW9vd2J5YlRGRWVyMXR6VVBjMzdRUUdoZmJiUU1IQ21iaC1FYmtEbTcxZEo5eGZKbmtmOFJfTF81bGvSAdsBQVVfeXFMTmdOREdJYy13emRFQVdnZWZNcUQyNzUzcHhtRzM5NVZobXlmb2thMExZTllraFVNV1NweE96TU5faXFobE1uV2cwVEtaZ1BvOWNyNVIxeHEyaERZU3lsZzV5bTJVVTFjellpWVpoeWpnNjVleDNDTkFVYjdCU0E4N0FxNmE3NlM2YUgzNWZNRU5SYWJlTVRxNGRPOExCWGlZQnVvb3dieWJURkVlcjF0elVQYzM3UVFHaGZiYlFNSENtYmgtRWJrRG03MWRKOXhmSm5rZjhSX0xfNWxr?oc=5,2026-07-04T21:58:31,contract,,,,,,,,N,duplicate_category_24h,,,,,,,
3,2026-07-05,07:46:55,Sunday,news_event,,,keyword,DLR,DLR,,,,,173.41,-1.74,,,Digital Realty (NYSE: DLR) to acquire $3.5B Blackstone hyperscale data centers,Stock Titan,https://www.stocktitan.net/sec-filings/DLR/8-k-digital-realty-trust-inc-reports-material-event-96c4cf48fb91.html,,ma,,,,,,,,N,confirmed_stale_source,,,,,,,
4,2026-07-05,08:16:17,Sunday,news_event,,,,VST,VST,,,,,,,,,"First Dallas Securities Inc. Sells 11,450 Shares of Vistra Corp. $VST",MarketBeat,https://news.google.com/rss/articles/CBMixAFBVV95cUxQeGczakJxQklUQVByMUVQWlQwRW9ZZXh5WHkzSE1EUGNNVEdHMEx3UURqb1FHNzBiT1JiSXJ6dHljalNFU3Z4N0F1ZkdnN2J6RnAxQmtjelNaS0RQdEpoTERocklta0hOcTVnM2YtOFJmd1ZLSFpMaU5Sb0pROVpQblhTdERIcDBQZzd0MXRna1k1NEdMcXNWSzBDT3RoUk9HMk56bjRCUmowUHBKV1k1QndPWU9oU3VweV9iWGxqSzhmc2ds?oc=5,2026-07-04T08:04:30,,vst:firstdallassecuritiesinc:11450,,,,,,,N,holding_disclosure_recycled,,,,,,,
5,2026-07-05,09:02:43,Sunday,news_event,,,keyword,VST,VST,,,,,151.1,-1.3,,,Vistra Corp (VST) Gets a Buy from Wells Fargo,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/,,analyst_note,,,,,N,0,keyword,Y,,"$VST ($151.1, -1.3% at last close as of Jul 2): Vistra Corp (VST) Gets a Buy from Wells Fargo

https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/",222,,,,,
1,2026-07-05,09:16:35,Sunday,news_event,,,keyword,DLR,DLR,,,,,173.41,-1.74,,,Digital Realty (NYSE: DLR) to acquire $3.5B Blackstone hyperscale data centers,Stock Titan,https://www.stocktitan.net/sec-filings/DLR/8-k-digital-realty-trust-inc-reports-material-event-96c4cf48fb91.html,,ma,,,,,,,,N,confirmed_stale_source,,,,,,,
2,2026-07-05,09:17:10,Sunday,news_event,,,keyword,VST,VST,,,,,151.1,-1.3,,,Vistra Corp (VST) Gets a Buy from Wells Fargo,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/,,analyst_note,,,,,N,0,keyword,Y,,"$VST ($151.1, -1.3% at last close as of Jul 2): Vistra Corp (VST) Gets a Buy from Wells Fargo

https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/",222,,,,,
1,2026-07-05,09:32:33,Sunday,news_event,,,keyword,VST,VST,,,,,151.1,-1.3,,,Vistra Corp (VST) Gets a Buy from Wells Fargo,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/,,analyst_note,,,,,N,0,keyword,Y,,"$VST ($151.1, -1.3% at last close as of Jul 2): Vistra Corp (VST) Gets a Buy from Wells Fargo

https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/",222,,,,,
1,2026-07-05,09:47:31,Sunday,news_event,,,keyword,TLN,TLN,,,,,362.8,0.5,,,Talen Energy Corp (TLN) Gets a Buy from Wells Fargo,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/TLN/pressreleases/3126104/talen-energy-corp-tln-gets-a-buy-from-wells-fargo/,,analyst_note,,,,,N,0,keyword,Y,,"$TLN ($362.8, +0.5% at last close as of Jul 2): Talen Energy Corp (TLN) Gets a Buy from Wells Fargo

https://www.theglobeandmail.com/investing/markets/stocks/TLN/pressreleases/3126104/talen-energy-corp-tln-gets-a-buy-from-wells-fargo/",234,,,,,
1,2026-07-05,10:03:20,Sunday,scheduled_slot,eu,hook,gemini,LR.PA,LR,"$ENR, $ABBN, $IBE, $RWE",,,weekend,144.0,0.91,,,,,,,,,,,,Y,1,llm,Y,,"RBC's target raise for $LR and a US acquisition highlight potential momentum for the electrical infrastructure player.

$LR: RBC target raise, Girtz US acquisition.
$ENR: Decades-long Oman power contracts.
$ABBN: EU grid/battery investment tailwinds.

https://www.marketscreener.com/news/legrand-regains-ground-after-rbc-raises-its-target-ce7f5fd3d08bf020",355,,,,,
2,2026-07-05,10:05:00,Sunday,scheduled_slot,us,hook,gemini,GEV,GEV,"$VRT, $EQIX, $ETN, $CEG",,,weekend,1117.12,-1.58,,,,,,,,,,,,Y,2,llm,Y,,"Jim Cramer made a ""bold buy call"" on $GEV, citing its position as a ""booming energy stock"" driving AI data center power.

$GEV: Cramer's backing underscores its role in the growing AI infrastructure narrative.

https://www.foreignpolicyjournal.com/2026/07/04/jim-cramer-backs-ge-vernova-nyse-gev-stock-and-ceo-scott-strazik-in-latest-mad-money-segment/",352,,,,,
3,2026-07-05,10:05:46,Sunday,news_event,,,keyword,VST,VST,,,,,151.1,-1.3,,,Vistra Corp (VST) Gets a Buy from Wells Fargo,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/,,analyst_note,,,,,N,2,keyword,Y,,"$VST ($151.1, -1.3% at last close as of Jul 2): Vistra Corp (VST) Gets a Buy from Wells Fargo

https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/",222,,,,,
1,2026-07-05,10:17:12,Sunday,scheduled_slot,eu,hook,gemini,ENR.DE,ENR,"$ABBN, $LR, $IBE, $RWE",,,weekend,168.12,1.39,,,,,,,,,,,,Y,1,llm,Y,,"Europe eyes energy and industrial plays ahead of the new week.

$ENR: Oman power contracts.
$ABBN: EU grid/battery investments.
$LR: US acquisition (Girtz).
$IBE: Italy solar, network resilience.
$RWE: Sofia Wind Farm turbines.

Strategic moves driving focus.",259,,,,,
2,2026-07-05,10:17:37,Sunday,news_event,,,keyword,DLR,DLR,,,,,173.41,-1.74,,,Digital Realty (NYSE: DLR) to acquire $3.5B Blackstone hyperscale data centers,Stock Titan,https://www.stocktitan.net/sec-filings/DLR/8-k-digital-realty-trust-inc-reports-material-event-96c4cf48fb91.html,,ma,,,,,,,,N,confirmed_stale_source,,,,,,,
3,2026-07-05,10:18:12,Sunday,news_event,,,keyword,TLN,TLN,,,,,362.8,0.5,,,Talen Energy Corp (TLN) Gets a Buy from Wells Fargo,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/TLN/pressreleases/3126104/talen-energy-corp-tln-gets-a-buy-from-wells-fargo/,,analyst_note,,,,,N,1,keyword,Y,,"$TLN ($362.8, +0.5% at last close as of Jul 2): Talen Energy Corp (TLN) Gets a Buy from Wells Fargo

https://www.theglobeandmail.com/investing/markets/stocks/TLN/pressreleases/3126104/talen-energy-corp-tln-gets-a-buy-from-wells-fargo/",234,,,,,
1,2026-07-05,10:32:34,Sunday,news_event,,,keyword,VST,VST,,,,,151.1,-1.3,,,Vistra Corp (VST) Gets a Buy from Wells Fargo,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/,,analyst_note,,,,,N,0,keyword,Y,,"$VST ($151.1, -1.3% at last close as of Jul 2): Vistra Corp (VST) Gets a Buy from Wells Fargo

https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/",222,,,,,
1,2026-07-05,10:46:58,Sunday,news_event,,,keyword,VST,VST,,,,,151.1,-1.3,,,Vistra Corp (VST) Gets a Buy from Wells Fargo,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/,,analyst_note,,,,,N,0,keyword,Y,,"$VST ($151.1, -1.3% at last close as of Jul 2): Vistra Corp (VST) Gets a Buy from Wells Fargo

https://www.theglobeandmail.com/investing/markets/stocks/VST/pressreleases/3126114/vistra-corp-vst-gets-a-buy-from-wells-fargo/",222,,,,,
1,2026-07-05,11:01:57,Sunday,news_event,,,keyword,DLR,DLR,,,,,173.41,-1.74,,,Digital Realty (NYSE: DLR) to acquire $3.5B Blackstone hyperscale data centers,Stock Titan,https://www.stocktitan.net/sec-filings/DLR/8-k-digital-realty-trust-inc-reports-material-event-96c4cf48fb91.html,,ma,,,,,,,,N,confirmed_stale_source,,,,,,,
2,2026-07-05,11:02:37,Sunday,news_event,,,keyword,TLN,TLN,,,,,362.8,0.5,,,Talen Energy Corp (TLN) Gets a Buy from Wells Fargo,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/TLN/pressreleases/3126104/talen-energy-corp-tln-gets-a-buy-from-wells-fargo/,,analyst_note,,,,,N,0,keyword,Y,,"$TLN ($362.8, +0.5% at last close as of Jul 2): Talen Energy Corp (TLN) Gets a Buy from Wells Fargo

https://www.theglobeandmail.com/investing/markets/stocks/TLN/pressreleases/3126104/talen-energy-corp-tln-gets-a-buy-from-wells-fargo/",234,,,,,
1,2026-07-05,11:17:07,Sunday,news_event,,,keyword,TLN,TLN,,,,,362.8,0.5,,,Talen Energy Corp (TLN) Gets a Buy from Wells Fargo,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/stocks/TLN/pressreleases/3126104/talen-energy-corp-tln-gets-a-buy-from-wells-fargo/,,analyst_note,,,,,N,0,keyword,Y,,"$TLN ($362.8, +0.5% at last close as of Jul 2): Talen Energy Corp (TLN) Gets a Buy from Wells Fargo

https://www.theglobeandmail.com/investing/markets/stocks/TLN/pressreleases/3126104/talen-energy-corp-tln-gets-a-buy-from-wells-fargo/",234,,,,,
